state_po,DEMOCRAT,REPUBLICAN,total_votes,dem_margin,cep_rate_school,poverty_rate_children
WY,69527.0,192633.0,262160.0,-0.46958346048214833,0.2768361581920904,11.5
WV,214309.0,533556.0,747865.0,-0.42687784560047604,0.990506329113924,21.1
ID,274972.0,605246.0,880218.0,-0.37521841180253074,0.189873417721519,12.0
ND,112327.0,246505.0,358832.0,-0.3739298613278637,0.7068965517241379,10.8
OK,999198.0,2072426.0,3071624.0,-0.34940083812341616,0.4961876832844575,19.8
AR,793810.0,1518482.0,2312292.0,-0.3133998647229675,0.2278325123152709,20.7
KY,704043.0,1337494.0,2041537.0,-0.3102814203220417,0.9330645161290324,19.9
AL,772412.0,1462616.0,2235028.0,-0.3088122385938789,0.8609422492401215,21.0
TN,1056265.0,1966865.0,3023130.0,-0.30121099654993333,0.7768446310737852,18.5
SD,146859.0,272081.0,418940.0,-0.2989019907385306,0.3678571428571429,13.9
MS,466668.0,747744.0,1214412.0,-0.23145028211183685,0.3011235955056179,25.7
LA,1133303.0,1799142.0,2932445.0,-0.22705933103604672,0.9454265949269792,25.2
UT,562566.0,883818.0,1446384.0,-0.222106992333986,0.2995594713656387,8.5
NE,369995.0,564816.0,934811.0,-0.20840683303897795,0.324812030075188,11.6
MT,231906.0,352079.0,583985.0,-0.20578097040163704,0.4409171075837742,12.2
IN,1163603.0,1720347.0,2883950.0,-0.19304911666291025,0.4336518046709129,15.6
MO,1200599.0,1751986.0,2952585.0,-0.18674720626163174,0.3830888697152718,15.4
SC,2056904.0,2967494.0,5024398.0,-0.18123365227038143,0.9393090569561158,19.1
KS,544853.0,758802.0,1303655.0,-0.1641147389455032,0.2465181058495821,12.7
AK,140026.0,184458.0,324484.0,-0.1369312508474994,0.5984251968503937,11.7
TX,8746992.0,11507322.0,20254314.0,-0.13628355914695506,0.6517459889443171,18.4
IA,1413835.0,1854038.0,3267873.0,-0.13470627530506846,0.2303030303030303,12.5
FL,4683038.0,6110125.0,10793163.0,-0.1322213886698459,0.7620520752771333,16.2
OH,2533699.0,3180116.0,5713815.0,-0.11313229427274071,0.634548944337812,17.4
AZ,2145165.0,2461122.0,4606287.0,-0.0685925562171875,0.6217522658610272,15.8
NC,2715375.0,2898423.0,5613798.0,-0.03260680202600806,0.8043293718166383,17.4
NV,705197.0,751205.0,1456402.0,-0.031590179085170166,0.9170812603648424,16.0
GA,2548017.0,2663117.0,5211134.0,-0.02208732302796282,0.565410199556541,18.0
PA,6846084.0,7086616.0,13932700.0,-0.01726384692127154,0.7013435700575815,15.3
MI,2736533.0,2816636.0,5553169.0,-0.014424736578339323,0.8012477718360071,17.3
WI,1668229.0,1697626.0,3365855.0,-0.008733887823450505,0.3325254483761512,12.4
NH,418488.0,395523.0,814011.0,0.02821214946726764,0.0138248847926267,7.4
MN,1656979.0,1519032.0,3176011.0,0.043434043521889565,0.293594306049822,10.0
VA,2335395.0,2075085.0,4410480.0,0.059020786853131633,0.8353333333333334,12.1
NJ,2220713.0,1968215.0,4188928.0,0.06027747433233514,0.2648648648648649,12.7
NM,957604.0,846782.0,1804386.0,0.06141812228647307,0.9976717112922002,23.8
ME,430342.0,376991.0,807333.0,0.06608301654955266,0.2483660130718954,12.6
IL,3062863.0,2449079.0,5511942.0,0.11135530816543425,0.7369879889128427,14.8
CO,1728159.0,1377441.0,3105600.0,0.11293083462132922,0.8376543209876544,10.8
NY,4619195.0,3578899.0,8198094.0,0.12689486117138934,0.9809480607847584,18.0
RI,283750.0,214291.0,498041.0,0.13946442160384387,0.8391608391608392,13.4
CT,992053.0,736918.0,1728971.0,0.14756464972518335,0.752906976744186,12.7
OR,1240600.0,919480.0,2160080.0,0.14866116069775193,0.9635627530364372,12.8
DE,289758.0,214351.0,504109.0,0.14958471282996336,0.8784530386740331,14.7
WA,2245849.0,1530923.0,3776772.0,0.1892955147941152,0.6951219512195121,11.3
CA,9276179.0,6081697.0,15357876.0,0.2080028514359668,0.8274361616855606,14.7
HI,313044.0,193661.0,506705.0,0.23560651661223,0.6182795698924731,11.7
MA,2126518.0,1251303.0,3377821.0,0.2591063884083852,0.9772565742714996,11.5
MD,1902577.0,1035550.0,2938127.0,0.29509514054361846,0.5591054313099042,11.2
VT,235791.0,119395.0,355186.0,0.3277043577168019,0.9965986394557824,10.3
DC,294185.0,21076.0,315261.0,0.8662949112005608,0.926605504587156,22.7
